id,question,answer
1,"Sarah has 8 more stickers than Mia. If Sarah has 21 stickers, how many stickers does Mia have?",13
2,"A movie ticket costs $9. If you spent $45 on tickets, how many tickets did you buy?",5
3,"Tyler has some marbles. After getting 12 more marbles, he has 30. How many marbles did he start with?",18
4,Four friends split 36 cookies equally. How many cookies does each friend get?,9
5,Emma buys 3 notebooks that each cost the same amount. She spends $24 total. How much does each notebook cost?,8
6,"A taxi charges a $5 starting fee plus $2 for each mile traveled. If the ride costs $19, how many miles did the taxi travel?",7
7,Noah is 6 years older than his sister. Noah is 17 years old. How old is his sister?,11
8,Lily read the same number of pages each day for 5 days. She read 60 pages total. How many pages did she read each day?,12
9,"A plant is 10 inches tall. It grows 3 inches every week. After 6 weeks, how tall is the plant?",28
10,"Jake had some money. After spending $15, he had $27 left. How much money did he have before spending it?",42
11,"A school bus holds 40 students. If 28 students are already on the bus, how many more students can get on?",12
12,"A rectangle has a length of 9 feet and a width of x feet. If its perimeter is 30 feet, what is the width?",6
13,"A phone plan charges $25 each month plus $10 for extra data. If your bill was $65, how much did you pay for extra data?",40
14,Olivia scored 15 more points than Ethan. Olivia scored 48 points. How many points did Ethan score?,33
15,Five friends each brought the same amount of money. Together they had $125. How much money did each person bring?,25
16,"A gym charges a $20 membership fee plus $8 per class. If your total bill was $68, how many classes did you take?",6
17,A number is multiplied by 6 and the result is 54. What is the number?,9
18,"You buy a backpack for $35 and a notebook for x dollars. If you spend $47 total, how much did the notebook cost?",12
19,"A theater has 250 seats. If 178 seats are filled, how many seats are still empty?",72
20,"A streaming service charges $12 per month. If someone paid $96, for how many months did they subscribe?",8
21,"A movie theater charges $12 per ticket plus a one-time online booking fee of $4. If a family spent $64 altogether, how many tickets did they buy?",5
22,"Emily has $35 in her savings account. She saves $12 each week. After several weeks, she has $143. How many weeks did she save?",9
23,"The length of a rectangle is 5 feet longer than its width. If the perimeter is 42 feet, what is the width?",8
24,The sum of three consecutive integers is 72. What is the middle number?,24
25,Alex has twice as much money as Ben. Together they have $90. How much money does Alex have?,60
26,"A phone company charges $30 each month plus $5 for each gigabyte of extra data. If your bill was $75, how many gigabytes of extra data did you use?",9
27,"Maria took five tests. Her first four scores were 88, 91, 84, and 95. She wants an average of 90. What score does she need on the fifth test?",92
28,"A father is 4 times as old as his son. Together, their ages add up to 50 years. How old is the son?",10
29,Two cyclists start 60 miles apart and ride toward each other. One rides at 12 mph and the other at 8 mph. How many hours will it take before they meet?,3
30,"A jacket is on sale for 25% off. After the discount, the jacket costs $60. What was the original price?",80
